crew_id,mission_day,consciousness,consciousness_target
CDR-ALPHA,0,0.82,0.82
CDR-ALPHA,10,0.820115709284749,0.82
CDR-ALPHA,11,0.8202878630464908,0.82
CDR-ALPHA,12,0.8207443444672717,0.82
CDR-ALPHA,13,0.820842204134833,0.82
CDR-ALPHA,14,0.8209133067646007,0.82
CDR-ALPHA,17,0.8212118460943983,0.82
CDR-ALPHA,18,0.821252048563082,0.82
CDR-ALPHA,19,0.8213545160244382,0.82
CDR-ALPHA,23,0.8216064901537944,0.82
CDR-ALPHA,26,0.8217076177656256,0.82
CDR-ALPHA,27,0.8217371938240812,0.82
CDR-ALPHA,28,0.8218027957306691,0.82
CDR-ALPHA,30,0.8218557030614133,0.82
CDR-ALPHA,43,0.8219796551769529,0.82
CDR-ALPHA,47,0.8223199312348414,0.82
CDR-ALPHA,48,0.8225393226432721,0.82
CDR-ALPHA,49,0.8227016749158689,0.82
CDR-ALPHA,52,0.8227082611368616,0.82
CDR-ALPHA,53,0.8238958780136446,0.82
CDR-ALPHA,54,0.8250637772023574,0.82
CDR-ALPHA,55,0.8263299232900139,0.82
CDR-ALPHA,56,0.8275820516201353,0.82
CDR-ALPHA,57,0.8282701396392875,0.82
CDR-ALPHA,58,0.8288922116711884,0.82
CDR-ALPHA,59,0.829087796836803,0.82
CDR-ALPHA,60,0.8293480337712748,0.82
CDR-ALPHA,61,0.8296019830683399,0.82
CDR-ALPHA,63,0.8296138963550029,0.82
CDR-ALPHA,64,0.829771018562844,0.82
CDR-ALPHA,65,0.8300144344239649,0.82
CDR-ALPHA,66,0.8302194628399705,0.82
CDR-ALPHA,68,0.8303308299719109,0.82
CDR-ALPHA,69,0.8307862831142818,0.82
CDR-ALPHA,70,0.8311715364165988,0.82
CDR-ALPHA,71,0.8316183099215599,0.82
CDR-ALPHA,72,0.8318225304897511,0.82
CDR-ALPHA,90,0.8326805685005912,0.82
CDR-ALPHA,91,0.8332652350628055,0.82
CDR-ALPHA,92,0.8339944329422148,0.82
CDR-ALPHA,93,0.8347977376621809,0.82
CDR-ALPHA,94,0.8355956603214006,0.82
CDR-ALPHA,95,0.8366129722857208,0.82
CDR-ALPHA,96,0.8376457681621472,0.82
CDR-ALPHA,97,0.8386890435643409,0.82
CDR-ALPHA,98,0.8399541885136493,0.82
CDR-ALPHA,99,0.8412331519462252,0.82
CDR-ALPHA,108,0.839570935159397,0.82
CDR-ALPHA,109,0.8378242809509069,0.82
CDR-ALPHA,130,0.8378395938369726,0.82
CDR-ALPHA,139,0.836179534691947,0.82
